nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1697528140,1697528163.224612,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,juliads,0.7.18,,combine,1,0.177,1.131,TRUE,29998789.000,0.088,,FALSE
ip-172-31-31-147,1697528140,1697528164.544991,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,juliads,0.7.18,,combine,2,0.045,0.955,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528166.573371,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,juliads,0.7.18,,combine,1,0.078,1.005,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528166.831145,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,juliads,0.7.18,,combine,2,0.07,1.004,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528167.247939,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,juliads,0.7.18,,combine,1,0.13,1.008,TRUE,29998789.000;4999719.622,0.093,,FALSE
ip-172-31-31-147,1697528140,1697528167.526470,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,juliads,0.7.18,,combine,2,0.097,1.011,TRUE,29998789.000;4999719.622,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528168.196430,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,juliads,0.7.18,,combine,1,0.101,1.01,TRUE,299.988;799.894;4999.767,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528168.472744,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,juliads,0.7.18,,combine,2,0.093,1.009,TRUE,299.988;799.894;4999.767,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528169.275913,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,juliads,0.7.18,,combine,1,0.562,1.185,TRUE,29998789.000;79989360.000;499976651.408,0.01,,FALSE
ip-172-31-31-147,1697528140,1697528169.611118,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,juliads,0.7.18,,combine,2,0.144,1.151,TRUE,29998789.000;79989360.000;499976651.408,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528170.107971,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,juliads,0.7.18,,combine,1,0.306,1.372,TRUE,499920.140;288648.108,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528170.449810,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,juliads,0.7.18,,combine,2,0.145,1.373,TRUE,499920.140;288648.108,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528171.217457,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,juliads,0.7.18,,combine,1,0.376,1.157,TRUE,399882.000,0.177,,FALSE
ip-172-31-31-147,1697528140,1697528171.491075,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,juliads,0.7.18,,combine,2,0.08,1.073,TRUE,399882.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528172.586646,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,juliads,0.7.18,,combine,1,0.79,1.262,TRUE,19700450.588,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528172.915577,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,juliads,0.7.18,,combine,2,0.129,1.309,TRUE,19700450.588,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528174.354041,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,juliads,0.7.18,,combine,1,1.236,1.416,TRUE,9.839,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528174.749326,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,juliads,0.7.18,,combine,2,0.183,1.523,TRUE,9.839,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528176.352990,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,juliads,0.7.18,,combine,1,1.325,1.542,TRUE,499976651.408;10000000.000,0.02,,FALSE
